Artikelnummer;Bezeichnung1;Bezeichnung2;EANNummer;Gewicht;GewichtLME;USER_AABreite;USER_AAHoehe;USER_AATiefe;USER_AFBreite;USER_AFGewicht;USER_AFHoehe;USER_AFLaenge;USER_AFVolumen;USER_AI;USER_AIBreite;USER_AIHoehe;USER_AILaenge;USER_EANNummerVerp;USER_EANNummerVerp2;USER_Farbe;USER_GewVE1;USER_GewVE2;USER_MatZusammensetzung;USER_Material;USER_PHArtikel115Pal;USER_ULBreite;USER_ULGewicht;USER_ULHoehe;USER_ULLaenge;Verkaufsmengeneinheit;Warennummer;FEFCO_Code
212101310;"Automatikbodenkarton, A5+, 229x164x50-115mm";"braun, var. Höhe, wiederverschließbar, 10 St. geb.";4250414133306;0.109;0.109;22.5;18.7;33.7;40;1.09;8.5;20.6;10;;22;18;33;4250414133313;;braun;;;"140 KLS / 115 WS / 135 TL";"1.30b KLS N7";1300;;;;;Stck.;48191000;"Fefco 0711"
212101320;"Mail-Box L, 395x248x141mm";"braun, wiederverschließbar, 20 St. geb.";4250414104443;0.3;0.3;40;15;26.1;40;6;16;58;20;;24.8;14.1;39.5;4250414104450;;braun;;;"120 KLS / 80 WS / 115 TL";"1.20b KLS N2";480;;;;;Stck.;48191000;
212101420;"Mail-Box XL, 460x333x174mm";"braun, wiederverschließbar, 20 St. geb.";4250414104467;0.453;0.453;46.5;18;34.6;46;9.06;16;73;20;;33.3;17.4;46;4250414104474;;braun;;;"120 KLS / 80 WS / 115 TL";"1.20b KLS N2";240;;;;;Stck.;48191000;
212102020;"TRAPEZ VERSANDVERPACKUNG ""A2"", 435x105/55x75mm";"20 St. gebündelt";4250414133627;0.101;0.101;;;;39.4;2.02;5;59.6;20;;;;;4250414134723;;braun;;;"140 KLS / 115 WS / 135 TL";"1.30b KLS N7";1680;;2.02;;;Stck.;48191000;"mit Selbstklebung"
212102120;"TRAPEZ VERSANDVERPACKUNG ""A1"", 610x105/55x75mm";"20 St. geb., mit SK";4250414133634;0.133;0.133;;;;40.1;2.66;5;76.9;20;;;;;4250414134730;;braun;;;"140 KLS / 115 WS / 135 TL";"1.30b KLS N7";1260;;2.66;;;Stck.;48191000;Fefco0500
212102220;"TRAPEZ VERSANDVERPACKUNG ""A1+"", 705x105/55x75mm";"20 St. gebündelt";4250414133641;0.149;0.149;;;;40;2.98;5;86.3;20;;;;;4250414134747;;braun;;;"140 KLS / 115 WS / 135 TL";"1.30b KLS N7";1260;;2.98;;;Stck.;48191000;"mit Selbstklebung"
212102320;"TRAPEZ VERSANDVERPACKUNG ""A0"", 860x105/55x75mm";"20 St. geb., IM: 860x105x75mm";4250414105938;0.175;0.175;;;;40;3.5;5;101.2;20;;;;;4250414134754;;braun;;;"140 KLS braun / 115 WS / 135 TL braun ";"1.30b KLS N7";840;;;;;Stck.;48191000;
212102420;"TRAPEZ VERSANDVERPACKUNG, 1005x105/55x75mm";"mit Selbstklebung, 20 St geb.";4250414137649;0.159;0.159;;;;39.4;3.18;5;116.6;20;;10.5;5.5;105;4250414138516;;braun;;;"120 KLS / 80 Ws / 115 TL";"1.20b KLS N2";840;;;;;Stck.;48191000;
212111020;"Mail-Box XS, 247x146x42mm";"weiß, wiederverschließbar, 20 St. geb. ";4250414104689;0.066;0.066;15.4;4.7;25;25;1.32;16;26;20;;14.6;4.2;24.7;4250414104696;;weiß;1800;;"135 TLW / 115 WS / 115 TL";"1.20b weiß Q1";1440;;;;;Stck.;48191000;
212111120;"Mail-Box S, 249x175x79mm";"weiß, wiederverschließbar, 20 St. geb.";4250414104702;0.105;0.142;18.5;8.5;25.5;25;2.1;16;38;20;;17.5;7.9;24.9;4250414104719;;weiß;;;"135 TLW / 115 WS / 115 TL";"1.20b weiß Q1";1080;;;;;Stck.;48191000;
212111220;"Mail-Box M, 331x241x104mm";"weiß, wiederverschließbar, 20 St. geb.";4250414104726;0.182;0.236;25.1;11;33.6;33.5;4.72;16;49;20;;24.1;10.4;33.1;4250414104733;;weiß;;;"135 TLW / 115 WS / 115 TL";"1.20b weiß Q1";480;;;;;Stck.;48191000;
212111320;"Mail-Box L, 395x248x141mm";"weiß, wiederverschließbar, 20 St. geb.";4250414104740;0.352;0.352;26.1;15;40;40;7.04;16;58;20;;24.8;14.1;39.5;4250414104757;;weiß;;;"135 TLW / 115 WS / 115 TL";"1.20b weiß Q1";480;;;;;Stck.;48191000;
212111420;"Mail-Box XL, 460x333x174mm";"weiß, wiederverschließbar, 20 St. geb.";4250414104764;0.532;0.532;34.6;18;46.5;46;10.64;16;73;20;;33.3;17.4;46;4250414104771;;weiß;;;"135 TLW / 115 WS / 115 TL";"1.20b weiß Q1";240;;;;;Stck.;48191000;
212151020;"Mail-Box XS, 247x146x42mm";"gelb, wiederverschließbar, 20 St. geb.";4250414104283;0.066;0.083;15.4;4.7;25;25;1.32;16;26;20;;14.6;4.2;24.7;4250414104290;;gelb;;;"135 TLW / 115 WS / 115TL";"1.20b weiß Q1";1440;;;;;Stck.;48191000;
212151120;"Mail-Box S, 249x175x79mm ";"gelb, wiederverschließbar, 20 St. geb. ";4250414104306;0.142;0.142;25.5;8.5;18.5;25;2.84;16;38;20;;17.5;7.9;24.9;4250414104313;;gelb;3000;;"135 TLW / 115 WS / 115 TL";"1.20b weiß Q1";1080;;;;;Stck.;48191000;
212151220;"Mail-Box M, 331x241x104mm";"gelb, wiederverschließbar, 20 St. geb.";4250414104320;0.182;0.236;33.6;11;25.1;33.5;4.72;16;49;20;;24.1;10.4;33.1;4250414104337;;gelb;;;"135 TLW / 115 WS / 115 TL";"1.20b weiß Q1";480;;;;;Stck.;48191000;
212151320;"Mail-Box L, 395x248x141mm";"gelb, wiederverschließbar, 20 St. geb. ";4250414104344;0.264;0.352;40;15;26.1;40;7.04;16;58;20;;24.8;14.1;39.5;4250414104351;;gelb;;;"135 TLW / 115 WS / 115 TL";"1.20b weiß Q1";480;;;;;Stck.;48191000;
212151420;"Mail-Box XL, 460x333x174mm";"gelb, wiederverschließbar, 20 St. geb. ";4250414104368;0.396;0.532;46.5;18;34.6;46;10.64;16;73;20;;33.3;17.4;46;4250414104375;;gelb;;;"135 TL weiß / 115 WS / 115 TL braun";"1.20b weiß Q1";240;;;;;Stck.;48191000;
212160320;"ORDNERVERSANDBOX 50-80A, 320x288x50-80mm";"anthrazit, VE 20 Stück";4250414107895;0.187;0.132;32.5;6.5;30;59;2.64;4.5;83;20;;28.8;5;32;4250414107901;;anthrazit;4;;"135 KL weiß / 80 WS / 135 TL braun";"1.30b weiß N2";880;;;;;Stck.;48191000;
221101020;"Versandkarton, 217x172x110mm,";"weiß, 1-wellig, 20 gebündelt";4250414141158;0.098;0.08;17.7;12;22.2;29.5;1.96;9.5;39.5;20;;17.2;11;21.7;4250414141882;;;;;"135TLW / 115WS / 115TL";"1.20b weiß Q1";1760;;;;;Stck.;48191000;"Fefco 0201"
221102010;"Versandkarton, 217x172x110mm,";"weiß, 2-wellig, 10 gebündelt";4250414141028;0.131;0.131;;;;29.6;1.31;7.8;39.7;10;;;;;4250414141929;;;;;"135KLW / 80WS / 90WS / 80WS / 90TL";"2.30be weiß N2";1260;;;;;Stck.;48191000;"Fefco 0201"
221102110;"Versandkarton, 304x217x150mm,";"weiß, 2-wellig, 10 gebündelt";4250414141042;0.222;0.222;;;;38;2.22;7.8;52.9;10;;;;;4250414141936;;;;;"135KLW / 80WS / 90WS / 80WS / 90TL";"2.30be weiß N2";560;;;;;Stck.;48191000;"Fefco 0201"
221110125;"Versandkarton, 195x145x90mm,";"weiß, 1-wellig, 25 gebündelt";4250414141141;0.06;0.06;;;;24.4;1.5;11;34.6;25;;;;;4250414141875;;;;;"135TLW / 115WS / 115TL";"1.20b weiß Q1";2250;;;;;Stck.;48191000;"Fefco 0201"
221110225;"Versandkarton, 295x195x90mm,";"weiß, 1-wellig, 25 Stck. gebündelt";4250414141165;0.122;0.122;;;;29.5;3.05;12;49.7;25;;;;;4250414141899;;;;;"135TLW / 115WS / 115TL";"1.20b weiß Q1";900;;;;;Stck.;48191000;"Fefco 0201"
221110325;"Versandkarton, 295x195x140mm,";"weiß, 1-wellig, 25 gebündelt";4250414140991;0.143;0.143;;;;34.4;3.575;11;49.6;25;;;;;4250414141912;;;;;"135TLW / 115WS / 115TL";"1.20b weiß Q1";900;;;;;Stck.;48191000;
221110625;"Versandkarton, 395x295x140mm,";"weiß, 1-wellig, 25 gebündelt";4250414141172;0.257;0.257;;;;44.4;6.425;11;69.6;25;;;;;4250414141905;;;;;"135TLW / 115WS / 115TL";"1.20b weiß Q1";450;;;;;Stck.;48191000;
222101005;"Versandkarton f. 12er Flaschen, 420x305x368mm,";"braun, für 12 Flaschen, 5er, ECOline";4250414140830;1.719;0.815;43.2;40.4;31.7;74;4.075;11;116;5;;30.5;37.4;42;4250414144135;;;9;;"115 TL / 80 WS / 90 WS / 90 WS / 90 TL";"2.03bc N2";45;;;;;Stck.;48191000;
222101300;"20l Beutel für Bag-in-Box, 470x610mm";"zu 10 Stück im UK";4250414142438;0.1034;1.114;;;;32;;16;43;;;;;;4250414142384;;;;;;"Innen: 50µ LLDPE, Außen: 70/6/1 EVOH";360;;;;;Stck.;39232100;
222101400;"5l Beutel für Bag-in-Box, 400x320mm";"zu 10 Stück im UK";4250414142414;0.0646;0.066;;;;31;;11;40;;;;;;4250414142360;;;;;;"Innen: 50µ LLDPE, Außen: 70/6/1 EVOH";800;;;;;Stck.;39232100;
222101500;"1.5l Beutel für Bag-in-Box, 320x200mm";"zu 10 Stück im UK";4250414142391;0.059;0.049;;;;30;;11;40;10;;;;;4250414142346;;;;;;"Innen: 50µ LLDPE, Außen: 70/6/1 EVOH";880;;;;;Stck.;39232100;
222102005;"Versankarton f. 6er Flaschen, 305x212x368mm,";"braun, für 6 Flaschen, 5er, ECOline";4250414140861;0.93;0.48;31.7;40.4;22.4;60;2.4;10;81;5;;21.2;36.8;30.5;4250414144128;;;5;;"120 KLS / 80 WS / 90 WS / 80 WS / 115 TL ";"2.30be KLS N2 ";110;;;;;Stck.;48191000;
222102400;"10l Beutel für Bag-in-Box, 375x495mm";"zu 10 Stück im UK";4250414142421;0.0872;0.804;;;;31;;11;40;;;;;;4250414142377;;;;;;"Innen: 50µ LLDPE, Außen: 70/6/1 EVOH";360;;;;;Stck.;39232100;
222102500;"3l Beutel für Bag-in-Box, 350x265mm";"zu 10 Stück im UK";4250414142407;0.059;0.554;;;;30;;11;40;;;;;;4250414142353;;;;;;"Innen: 50µ LLDPE, Außen: 70/6/1 EVOH";640;;;;;Stck.;39232100;
222103001;"Versandkarton für Magnumflaschen, 144x144x425 mm ";"braun, für 1 Flasche, VE 5 Stück";4250414141097;0.406;0.406;;;;69;;7.5;72;;;;;;4250414141868;;;;;"135KL / 80WS / 90WS / 135WS / 135TL";"2.40bc N1";180;;;;;Stck.;48191000;
222103005;"Versandkarton f. Flaschen, 305x212x368mm,";"braun, für 6 Flaschen, 5er";4250414138356;1.153;0.6;31.7;40.4;22.4;58.5;3;12;82.5;5;;21.2;36.8;30.5;4250414138363;;;6;4286;"135 KL / 80 WS / 90 WS / 135 WS / 135 TL";"2.40bc N1";90;;;;;Stck.;48191000;
222103010;"Versandkarton f. Flaschen, 204x108x368mm,";"braun, für 2 Flaschen, 10er";4250414138318;0.461;0.27;21.6;40.4;12;36;2.7;18;79;10;;10.8;36.8;20.4;4250414138325;;;5;;"135 KL / 80 WS / 90 WS / 135 WS / 135 TL ";"2.40bc N1";180;;;;;Stck.;48191000;
222103020;"VERSANDKARTON FÜR FLASCHEN, 106x106x420mm,";"braun, für 1 Flasche, VE 20 Stück";4250414112714;0.34;0.36;120;444;120;55.5;7.2;7;94.5;20;;105;420;105;4250414105853;;braun;7;;"135 KL / 115 WS / 90 WS / 90 WS / 135 KL";"2.40be T9";600;;;;;Stck.;48191000;
222103105;"Versandkarton f. Flaschen, 316x305x368mm,";"braun, für 9 Flaschen, 5er";4250414138370;1.7;0.87;32.8;38.9;31.7;63.5;4.35;15;100;5;;30.5;36.8;31.6;4250414138387;;;9;;"135 KL / 80 WS / 90 WS / 135 WS / 135 TL";"2.40bc N1";70;;;;;Stck.;48191000;
222103110;"VERSANDKARTON FÜR 3er FLASCHEN, 305x108x368mm,";"braun, für 3 Flaschen, VE 10 Stück";4250414105877;0.638;0.29;110;369;305;42;2.9;24;60.5;10;;123;395;314;4250414105884;;braun;6;;"135 KL / 80 WS / 90 WS / 135 WS / 135 TL";"2.40bc N1";160;;;;;Stck.;48191000;
222103205;"Versandkarton f. 12er Flaschen, 420x305x368mm,";"braun, für 12 Flaschen, 5er";4250414138394;2.117;2.117;43.2;40.4;31.7;73.8;10.585;11.5;115.5;5;;30.5;37.4;42;4250414138400;;;11;;"135 KL / 80 WS / 90 WS / 135 WS / 135 TL";"2.40bc N1";45;;;;;Stck.;48191000;
222103210;"Versandkarton f. Flaschen, 212x204x368mm,";"braun, für 4 Flaschen, 10er";4250414138332;0.85;0.47;22.4;38.9;21.6;42.7;4.7;23.5;79.7;10;;20.4;36.8;21.2;4250414138349;;;9;;"135 KL / 80 WS / 90 WS / 135 WS / 135 TL";"2.40bc N1";120;;;;;Stck.;48191000;
222104001;"BIERTRAGERL, 213x140x269mm";"braun, 25 St. geb., ";4250414142193;0.136;0.136;;;;28.4;3.4;20;37.8;25;;;;;4250414142506;;;;;"135KLS / 90WS / 135TL";1.30e;1200;;;;;Stck.;48191000;"Fefco 0499"
222104002;"BIERTRAGERL, 213x140x269mm";"weiß, 25 St. geb.";4250414142216;0.102;0.141;;;;28.4;;20;37.8;;;;;;4250414142513;;;;;"135KLW / 90WS / 135KLW";"1.24e bs weiß";1200;;;;;Stck.;48191000;
222104015;"Versandkarton f. 24 Getränkedosen, 410x275x170mm ";"0,33L + 0,5L Dosen, braun, 15 St. gebündelt";4250414142810;0.436;0.436;;;;47.5;;17.5;70;;;;;;4250414144142;;;;;"140 KLS braun / 80 WS / 90 WS / 115 WS / 135 TL braun ";"2.40bc KLS N2 ";360;;;;;Stck.;48191000;"Fefco 0201"
222104100;"Bierversandkarton 3er Flaschen, 255x88x288mm";"braun, 5 St. geb., Bierkarton ";4250414141998;0.432;0.257;;;;35.5;2.16;13;50;5;;30.5;36.8;42;4250414142070;;;2;;"175 KL braun / 80 WS / 90 WS / 135 WS / 140 KLS braun";"2.50bc N1";180;;;;;Stck.;48191000;"Fefco 0203"
222104200;"Bierversandkarton 6er Flaschen, 255x175x294mm";"braun, 5 St. geb., Bierkarton";4250414142001;0.807;0.457;;;;51;;12;67;5;;30.5;36.8;42;4250414142087;;;4;;"175 KL braun / 80 WS / 90 WS / 135 WS / 175 KL braun";"2.60bc N1";90;;;;;Stck.;48191000;"Fefco 0203"
222104300;"Bierversandkarton 9er Flaschen, 265x255x288mm";"braun, 5 St. geb., Bierkarton";4250414142018;1.107;0.582;;;;56;0;11;97;5;;30.5;36.8;42;4250414142094;;;6;;"140 KLS braun / 80 WS / 90 WS / 115 WS / 135 TL braun";"2.40bc KLS N2";90;;;;;Stck.;48191000;"Fefco 0203"
222104400;"Bierversandkarton 12er Flaschen, 353x255x288mm";"braun, 5 St. geb., Bierkarton";4250414142025;1.375;0.675;;;;62;0;11;97.5;5;;30.5;36.8;42;4250414142100;;;7;;"140 KLS braun / 80 WS / 90 WS / 115 WS / 135 TL braun";"2.40bc KLS N2";90;;;;;Stck.;48191000;"Fefco 0203"
222105001;"CARGO-BOX XS - ECO,  150 Stck.";"10 St. geb. ";4250414104481;0.57;0.57;46.5;40;34.7;79;5.7;8;80.5;240;;34.5;38;45.5;4250414143732;;"blau gestreift";;;"140 KLS / 115 Ws / 135 TL";"1.30C KLS N7";150;;;;;Stck.;48191000;
222105101;"CARGO-BOX X - ECO, 150 Stck / Pal, 10 geb.";;4250414104535;0.685;0.685;64.5;37.6;34.8;78;6.85;7;98.5;240;;34;36;63.7;4250414108267;;"blau gestreift";;;"140 KLS / 115 WS / 135 TL";"1.30c KLS N7";150;;;;;Stck.;48191000;
222105201;"CARGO-BOX XXL, einzeln, flachl. 150 Stck.";"10 St. gebündelt ";4250414104566;1.217;1.217;76;46;43;93.4;12.17;6.5;117.7;220;;42;44;75;4250414143749;;"blau gestreift";;;"120 KLS / 90 WS / 80 WS / 80 WS / 115 TL";"2.30be KLS N2";150;;;;;Stck.;48191000;
222105301;"CARGO-BOX B BÜCHERBOX einzeln, 150 Stck./Pal.";;4250414104511;0.594;0.594;30;35;58.5;79.6;;0.78;86.1;120;;29.3;33;56;;;"blau gestreift";;;"140 KLS / 115 WS / 135 TL";"1.30c KLS N7";150;;;;;Stck.;48191000;
222105401;"CargoBox plus S, 400x320x320mm,";"wiederverschließbar, braun, doppelwellig, VE10";4250414106522;0.564;0.564;41;34;33;72.5;5.64;8;83.5;10;;32;32;40;4250414143756;;braun;;;"115 TL/ 90 WS / 80 WS / 80 WS / 90 TL";"2.03be N2";150;;;;;Stck.;48191000;
222105501;"CargoBox plus X, 660x350x360mm,";"wiederverschließbar, braun, doppelwellig, VE10";4250414106546;0.975;0.975;36;38;67;92;9.75;8;101.5;10;;35;36;66;4250414143763;;braun;;;"115 TL / 80 WS / 90 WS / 80 WS / 90 TL";"2.03be N2";150;;;;;Stck.;48191000;
222105700;"Kleiderbox, 545x545x1240mm";"braun, mit Sonderstanzung, Boden + Deckel, Set";4250414143015;2.9433;2.7;;;;55;;2;152;;;;;;4250414143725;;;;;"175 KL braun / 80 WS / 90 WS / 135 WS / 140 KLS braun";"2.50bc N1";48;;;;;Stck.;48191000;
222106010;"Bierfasskarton mit Einlage, 228x228x271mm";"braun, 10 St. geb., 5l Fass";4250414142599;0.684;0;;;;47;;25;52.5;;;;;;4250414142605;;;;;"135KL / 80WS / 90WS / 135WS / 135TL";"2.40bc N1";160;;;;;Stck.;48191000;"Fefco 0201"
222106015;"Versandkarton f.  GIN, 326x115x278mm";"braun, 10 St. geb., für 3 Flaschen";4250414143077;0.56;0;;;;55.5;;17.5;36;;;;;;4250414143053;;;;;"135 KL braun / 80 WS / 90 WS / 135 WS / 135 TL braun";"2.40bc N1";120;;;;;Stck.;48191000;"Fefco 0203"
222106115;"Versandkarton f. GIN, 326x226x278mm";"braun, 5 St. geb., für 6 Flaschen";4250414143084;1.038;0;;;;57;;11.5;67;;;;;;4250414143046;;;;;"135 KL braun / 80 WS / 90 WS / 135 WS / 135 TL braun";"2.40bc N1";90;;;;;Stck.;48191000;"Fefco 0203"
222111310;"20l Bag-in-Box Set, 2-teilig";"10 x Beutel + 10 x Karton";4250414142483;0.6524;6.604;;;;;;;;;;;;;4250414143855;;;;;;;;;;;;Set;;
222111410;"5l Bag-in-Box Set, 2-teilig";"10 x Beutel + 10 x Karton";4250414142469;0.2586;2.596;;;;;;;;;;;;;4250414143831;;;;;;;;;;;;Set;;
222111510;"1,5l Bag-in-Box Set, 2-teilig";"10 x Beutel + 10 x Karton";4250414142445;0.124;1.148;;;;;11.48;;;10;;;;;4250414143817;;;1;;;;;;;;;Set;;
222112410;"10l Bag-in-Box Set, 2-teilig";"10 x Beutel + 10 x Karton";4250414142476;0.4502;4.434;;;;;;;;;;;;;4250414143848;;;;;;;;;;;;Set;;
222112510;"3l Bag-in-Box Set, 2-teilig";"10 x Beutel + 10 x Karton";4250414142452;0.163;1.974;;;;;;;;;;;;;4250414143824;;;;;;;;;;;;Set;;
222114020;"PLAN BOX, A2, 500x75x75mm";"weiß, wiederverschließbar, 20 St. geb.";4250414104580;0.0918;0.09;50.7;8;8;15.2;1.8;8.5;71;20;;7.5;7.5;50;4250414104597;;weiß;2;;"135 gr TL / 70gr WS / 135 gr  TL";"1.20e weiß";1600;;;;;Stck.;48191000;
222114120;"PLAN BOX, A1, 750x75x75mm";"weiß, wiederverschließbar, 20 St. geb.";4250414104603;0.135;0.13;75.7;8;8;15.4;2.6;8.5;96;20;;7.5;7.5;75;4250414104610;;weiß;3;;"135gr TL / 70 gr WS / 135gr TL";"1.20e weiß";1300;;;;;Stck.;48191000;
222114220;"PLAN BOX, A0, 1100x75x75mm";"weiß, wiederverschließbar, 20 St. geb.";4250414104627;0.1649;0.142;11.07;8;8;15.5;2.84;8.5;131;20;;7.5;7.5;11;4250414104634;;weiß;3;;"135 gr TL / 70gr WS / 135gr TS";"1.20e weiß";1300;;;;;Stck.;48191000;
222302125;"Versandkarton, 230x155x90mm ";"Nummerndruck, 25 St. geb., DHL ";4250414145965;0.08;0.08;;;;25;2;12;39;25;;;;;;;;;;"140KLS / 80WS / 135TL";"1.30b KLS N2";2025;;;;;Stck.;48191000;"Fefco 0201"
222302225;"Versandkarton, 230x180x125mm ";"Nummerndruck, 25 St. geb., DHL ";4250414145972;0.1;0.1;;;;31.5;2.5;12;42;25;;;;;;;;;;"135TL / 80WS / 115TL";"1.03b N2";1800;;;;;Stck.;48191000;"Fefco 0201"
222302325;"Versandkarton, 300x220x150mm ";"Nummerndruck, 25 St. geb., DHL ";4250414145989;0.18;0.18;;;;38;4.5;12.5;53;25;;;;;;;;;;"140KLS / 115WS / 135TL";"1.30b KLS N7";900;;;;;Stck.;48191000;"Fefco 0201"
222302425;"Versandkarton, 350x295x145mm ";"Nummerndruck, 25 St. geb., DHL ";4250414145996;0.216;0.216;;;;45;5.4;12;65;25;;;;;;;;;;"135TL / 80WS / 115TL";"1.03b N2";450;;;;;Stck.;48191000;"Fefco 0201"
222302525;"Versandkarton, 400x300x100mm";"Nummerndruck, 25 St. geb., DHL ";4250414146009;0.255;0.255;;;;41;6.375;12;70.5;25;;;;;;;;;;"140KLS / 115WS / 135TL";"1.30b KLS N7";450;;;;;Stck.;48191000;"Fefco 0201"
222402110;"Versandkarton, 400x300x300mm";"weiß, 2-wellig, 10 gebündelt";4250414141059;0.476;0.476;;;;61.5;4.76;8;710;10;;;;;4250414141943;;;;;"135KLW / 80WS / 90WS / 80WS / 90TL";"2.30be weiß";280;;;;;Stck.;48191000;"Fefco 0201"
222402310;"Versandkarton, 500x400x300mm,";"weiß, 2-wellig, 10 gebündelt";4250414141066;0.668;0.668;;;;71.4;6.68;7.8;90.8;10;;;;;4250414141950;;;;;"135KLW / 80WS / 90WS / 80WS / 90TL";"2.30be weiß N2";140;;;;;Stck.;48191000;
222402610;"Versandkarton, 600x400x400mm,";"weiß, 2-wellig, 10 gebündelt";4250414141080;0.893;0.893;40.7;41.4;60.7;81.4;8.93;7.8;100.8;10;;40;40;60;4250414141967;;;;;"135KLW / 80WS / 90WS / 80WS / 90TL";"2.30be weiß N2";140;;;;;Stck.;48191000;"Fefco 0201"
226100125;"ARCHIV-ABLAGEBOX, 315x65x233mm,";"wiederverschließbar, braun, VE 25 Stück";4250414108540;0.1257;0.12;32;24.2;6.7;38.5;3;9.4;39.8;25;;6.5;23.3;31.5;4250414108557;;braun;3;;"120 gr. KLS, 70 gr. WS, 115 gr. TL ";"1.20e KLS";1500;;;;;Stck.;48191000;
226100220;"ARCHIV-ABLAGEBOX, 252x70x317mm,";"wiederverschließbar, braun, VE 20St";4250414103484;0.179;0.18;26.5;32.4;7.5;54.8;3.6;3;98.7;20;;7;31.7;25.2;4250414106690;;braun;4;;"120 KLS / 70 WS / 115 TL";"1.20e KLS";1360;;;;;Stck.;48191000;
226100310;"Archivbox für Hängemappen, 328x115x239mm,";"wiederverschließbar, braun, VE 10 Stück";4250414103507;0.1862;0.18;33.4;27.5;12;45;1.8;5.1;60.2;10;;11.5;23.9;32.8;4250414103514;;braun;2;;"115 gr. TL / 80 gr. WS /115 gr. TL";"1.02b N2";880;;;;;Stck.;48191000;
226100410;"ARCHIV-TRANSPORTBOX, 327x158x279mm,";"wiederverschließbar,braun,für Hängemappen,VE 10 St";4250414106409;0.223;0.24;34;28;16.3;47.6;2.4;6.5;49.3;10;;15.8;27.9;32.7;4250414106416;;braun;2;;"120 KLS / 80 Ws / 115 TL";"1.20b KLS N2";720;;;;;Stck.;48191000;
226100510;"ARCHIV-ABLAGEBOX 100 SELECT, 319x94x257mm";"20 Stück";4250414111069;0.139;0.15;10;26.3;32.2;56.3;3;3;74.6;20;;9.4;25.7;31.9;;;braun;3;;"120 KLS / 70 WS / 115 TL";"1.20 E KLS";1280;;;;;Stck.;48196000;
226104020;"Archiv-Stehsammler 75, 260x75x315mm";"braun, 20 St.";4250414108588;0.149;0.17;26.5;31.8;7.8;34;3.4;3.5;64.5;20;;7.5;31.5;26;4250414108595;;braun;3;;"120 KLS braun / 70 WS / 115 TL braun";"1.20e KLS ";1980;;17;;;Stck.;48191000;
226110830;"ARCHIV-ABLAGEBOX 50, 250x45x317mm,";"wiederverschließbar, weiß, VE 30 Stück";4250414106447;0.1541;0.16;26.5;5;32.4;47.9;4.8;4.5;88.1;30;;31.7;4.5;25;4250414106454;4250414133139;weiß;5;;"135 TLW / 70 WS / 135 TL";"1.20e weiß";960;;19.2;;;Stck.;48191000;
226110920;"ARCHIV-ABLAGEBOX, 250x70x317mm,";"wiederverschließbar, weiß, VE 20 Stück in Folie";4250414106461;0.1991;0.19;26.5;32.4;7.5;55;3.8;3.5;100;20;;7;31.7;25;4250414106478;;weiß;4;;"135 TLW / 70 WS / 135 TL";"1.20e weiß";1360;;;;;Stck.;48191000;
226111020;"ARCHIV-STEHSAMMLER, 260x75x515mm,";"weiß, VE 20 Stück";4250414106485;0.0791;0.164;7.8;52.6;26.3;34;3.28;7;64.5;20;;7.5;51.5;26;4250414106492;;weiß;2;;"135 TLW / 70 WS / 135 TL";"1.20e weiß";1980;;;;;Stck.;48191000;
226131220;"ARCHIV-ABLAGEBOX, 315x96x260mm,";"wiederverschließbar, blau, VE 20 Stück";4250414108489;0.164;0.136;32.5;10;26.5;51.9;2.72;3;77.8;20;;26;9.6;31.5;4250414108496;4250414109202;blau;3;;"135 TLW / 70 WS / 135 TL ";"1.20e weiß";1400;;13.6;;;Stck.;48191000;
226141220;"ARCHIV-ABLAGEBOX, 315x96x260mm,";"wiederverschließbar, rot, VE 20 Stück";4250414108502;0.164;0.136;32.5;10;26.5;52;2.72;3;78;20;;26;9.6;31.5;4250414108519;4250414109196;rot;3;;"135 TLW / 70 WS / 135 TL";"1.20e weiß";1400;;13.6;;;Stck.;48191000;
226151220;"ARCHIV-ABLAGEBOX, 315x96x260mm,";"wiederverschließbar, gelb, VE 20 Stück";4250414108526;0.164;0.136;32.5;10;26.5;52;2.72;3;78;20;;26;9.6;31.5;4250414108533;4250414109189;gelb;3;;"135 TLW / 70 WS / 135 TL";"1.20e weiß";1400;;13.6;;;Stck.;48191000;
226161220;"ARCHIV-ABLAGEBOX, 315x96x260mm,";"wiederverschließbar, anthrazit, VE 20 Stück";4250414103569;0.151;0.136;32.5;10;26.5;52;2.72;3;78;20;;26;9.6;31.5;4250414103576;4250414109219;grau;3;;"135 TLW / 70 WS / 135 TL";"1.20e weiß";1400;;13.6;;;Stck.;48191000;
226161310;"ARCHIVBOX FÜR HÄNGEMAPPEN, 330x120x265mm,";"wiederverschließbar, anthrazit, VE 10 Stück";4250414108380;0.2292;0.21;27.5;11.8;33.5;45;2.1;5.5;60.2;10;;26.5;11.5;32.8;4250414108397;;;2;;"135 TLW / 115 WS / 115 TL";"1.20b weiß Q1";880;;;;;Stck.;48191000;
227100105;"ARCHIVBOX, 297x334x330 mm, wiederverschließbar";"braun, mit Frontklappe, VE 5 Stück";4250414107086;0.7167;0.55;34.3;33.6;31;68;2.75;4.5;68;5;;33.4;33;29.7;4250414107093;;;4;;"140 KLS / 115 Ws / 135 TL";"1.30b KLS N7";280;;;;;Stck.;48191000;
