Artikelnummer;Bezeichnung1;Bezeichnung2;EANNummer;Gewicht;GewichtLME;USER_AABreite;USER_AAHoehe;USER_AATiefe;USER_AFBreite;USER_AFGewicht;USER_AFHoehe;USER_AFLaenge;USER_AFVolumen;USER_AI;USER_AIBreite;USER_AIHoehe;USER_AILaenge;USER_EANNummerVerp;USER_EANNummerVerp2;USER_Farbe;USER_GewVE1;USER_GewVE2;USER_MatZusammensetzung;USER_Material;USER_PHArtikel115Pal;USER_ULBreite;USER_ULGewicht;USER_ULHoehe;USER_ULLaenge;Verkaufsmengeneinheit;Warennummer;FEFCO_Code
211101125;"Universalverpackung ""CD"", 150x133x-54mm,";"sk m. Aufreißfaden, braun, var. Höhe, 25 gebündelt";4250414103880;0.05;0.05;13.5;6.2;19.2;19.5;1.25;9.5;42;25;;13.3;5.4;15;4250414135416;;braun;1250;;"120 KLS / 80 WS / 115 TL";"1.20b KLS N2";3600;;;;;Stck.;48191000;
211101210;"Automatikbodenkarton, 300x210x85mm";"braun, mit SK und Aufreißfaden, 10 St. geb. ";4250414141318;0.19;0.19;;;;31;1.9;7.5;52;10;;;;;4250414143633;;;;;"120KLS / 80WS / 115TL";"1.20b KLS N2";840;;;;;Stck.;48191000;"Fefco 0701"
211101220;"Automatikbodenkarton, A3+, 460x309x180-300mm";"braun, mit SK und Aufreißfaden, 10 St. geb.";4250414104146;0.453;0.453;47;31.3;31.5;51.4;4.53;7;77.5;10;;30.9;30;46;4250414135034;;braun;;;"120 KLS / 80 WS / 115 TL";"1.20b KLS N2";300;;4.53;;;Stck.;48191000;"Fefco 0701"
211101225;"Universalverpackung ""A5"",219x157x-54mm,";"sk m. Aufreißfaden,braun,var. Höhe, 25 gebündelt";4250414103903;0.071;0.071;16.5;6.4;26.3;26.5;1.775;9.5;51;25;;15.7;5.4;21.9;4250414135423;;braun;;;"120 KLS / 80 WS / 115 TL";"1.20b KLS N2";1800;;;;;Stck.;48191000;
211101310;"Automatikbodenkarton, 540x380x160mm";"braun, mit SK und Aufreißfaden, 10 St. geb. ";4250414141356;0.745;0.745;;;;55;7.45;7;93;10;;;;;4250414143688;;;;;"135KL / 115S / 135TL";"1.30b N7";280;;;;;Stck.;48191000;"Fefco 0701"
211101325;"Universalverpackung ""A5+"", 249x165x-70mm,";"sk m. Aufreißfaden,braun,var. Höhe,25 gebündelt";4250414103927;0.083;0.083;16.7;8.6;25.1;29.5;2.075;9.5;55;25;;16.5;7;24.9;4250414135430;;braun;;;"120 KLS / 80 WS / 115 TL";"1.20b KLS N2 braun";1800;;;;;Stck.;48191000;
211101410;"Automatikbodenkarton, 540x380x320mm";"braun, mit SK und Aufreißfaden, 10 St. geb. ";4250414141363;0.874;0.874;;;;71;8.74;5.5;93;10;;;;;4250414143695;;;;;"135KL / 115WS / 135TL";"1.30b N7";170;;;;;Stck.;48191000;"Fefco 0701"
211101425;"Universalverpackung ""B5"", 274x185x-80mm,";"sk m. Aufreißfaden, braun, var. Höhe, 25 gebündelt";4250414103941;0.097;0.097;19;9;31.5;32;2.425;9.5;58.5;25;;18.5;8;27.4;4250414135447;;braun;;;"120 KLS / 80 WS / 115 TL";"1.20 B KLS N2";1200;;;;;Stck.;48191000;
211101510;"Automatikbodenkarton, 220x220x73mm ";"braun, mit SK u. Aufreißfaden, 10 St. gebündelt ";4250414143169;0.097;0.097;;;;25.5;;6.5;45;;;;;;4250414144074;;;;;"120 KLS braun / 70 WS / 115 TL braun ";"1.20e KLS ";2100;;;;;Stck.;48191000;"Fefco 0701"
211101525;"Universalverpackung ""A4"", 304x215x-77mm,";"sk m. Aufreißfaden,braun,var. Höhe,25 gebündelt";4250414103965;0.127;0.127;21.7;8.6;35;35;3.175;9.5;72;25;;21.5;7.7;30.4;4250414135454;;braun;;;"120 KLS / 80 WS / 115 TL ";"1.20 B KLS N2";900;;;;;Stck.;48191000;
