HAN,BEZEICHNUNG,EINHEIT,WAEHRUNG,PREIS0,ABMENGE0,PREIS1,ABMENGE1,PREIS2,ABMENGE2,PREIS3,ABMENGE3,PREIS4,ABMENGE4,PREIS5,ABMENGE5,PREIS6,ABMENGE6,PREIS7,ABMENGE7,PREIS8,ABMENGE8,PREIS9,ABMENGE9
211104420,"Ordnerversandbox `A4+`, 330x290x-120mm,",Stck.,EUR,1.226,20,0.922,60,0.894,400,0.778,800,,,,,,,,,,,,
211104520,"PACKBOX A3+, 460x305x160mm,",Stck.,EUR,1.608,20,1.367,40,1.335,320,1.189,640,,,,,,,,,,,,
211104720,"ORDNERVERSANDVERPACKUNG, 320x285x35-80mm,",Stck.,EUR,0.890,20,0.515,60,0.430,900,0.349,1800,,,,,,,,,,,,
211107725,"Maxibriefkarton 1 IM: 160x113x42mm AM175x115x45mm",Stck.,EUR,0.539,25,0.314,50,0.201,100,0.145,200,0.121,350,0.113,3900,0.101,7800,,,,,,
211107825,"Maxibriefkarton 2 IM:225x155x45mm AM:240x160x50mm",Stck.,EUR,0.559,25,0.334,50,0.221,100,0.165,200,0.144,2600,0.126,5200,,,,,,,,
211107925,"Maxibriefkarton 3 IM:330x242x45mm AM:350x250x50mm",Stck.,EUR,0.633,25,0.408,50,0.295,100,0.260,175,0.239,200,0.254,1300,0.219,2600,,,,,,
211109725,"Kleinpaket Fefco 0427, 160x113x77mm",Stck.,EUR,0.511,25,0.307,50,0.205,100,0.154,200,0.150,300,0.145,4200,0.127,8400,,,,,,
211109825,"Kleinpaket Fefco0427, 225x155x77mm",Stck.,EUR,0.551,25,0.347,50,0.250,100,0.201,175,0.198,2800,0.179,5600,,,,,,,,
211109925,"Kleinpaket Fefco0427, 330x242x77mm",Stck.,EUR,0.632,25,0.428,50,0.354,100,0.340,150,0.339,1400,0.297,2800,,,,,,,,
211111050,"CD-JEWEL-MAILER DIN LANG, 225x125x12mm,",Stck.,EUR,0.291,100,0.244,400,0.212,2800,0.195,5600,,,,,,,,,,,,
211111150,"CD-JEWEL-MAILER DIN LANG, 225x125x12mm,",Stck.,EUR,0.301,100,0.225,400,0.222,2800,0.205,5600,,,,,,,,,,,,
211111225,"UNIVERSALVERPACKUNG `A5`,217x155x-60mm,",Stck.,EUR,0.636,25,0.244,225,0.237,1800,0.211,3600,,,,,,,,,,,,
211111325,"UNIVERSALVERPACKUNG `A5+`, 249x165x-60mm,",Stck.,EUR,0.678,25,0.303,150,0.280,1800,0.253,3600,,,,,,,,,,,,
211111525,"UNIVERSALVERPACKUNG `A4`, 304x215x-77mm,",Stck.,EUR,0.771,25,0.471,75,0.424,900,0.372,1800,,,,,,,,,,,,
211117725,"Maxibriefkarton Gr. 1, 160x113x42mm",Stck.,EUR,0.547,25,0.322,50,0.209,100,0.153,200,0.129,350,0.121,3900,0.109,7800,,,,,,
211117825,"Maxibriefkarton, Gr. 2, 225x155x45mm",Stck.,EUR,0.574,25,0.348,50,0.236,100,0.180,200,0.159,2600,0.141,5200,,,,,,,,
211117925,"Maxibriefkarton, Gr. 3, weiß, VE 25",Stck.,EUR,0.660,25,0.435,50,0.322,100,0.293,175,0.281,1300,0.245,2600,,,,,,,,
211202025,"Universalverpackung, A5, 219x157x54mm ",Stck.,EUR,0.625,25,0.400,50,0.288,100,0.250,150,0.225,225,0.211,2550,0.193,5100,,,,,,
211202125,"Universalverpackung, A4, 312x250x70mm ",Stck.,EUR,0.700,25,0.474,50,0.399,75,0.318,1350,0.283,2700,,,,,,,,,,
211202225,"Universalverpackung, A3, 456x320x70mm",Stck.,EUR,0.886,25,0.661,50,0.545,850,0.491,1700,,,,,,,,,,,,
211614620,"ORDNERVERSANDVERPACKUNG, 320x285x35-80mm,",Stck.,EUR,0.937,20,0.561,60,0.484,840,0.395,1680,,,,,,,,,,,,
212022010,"Transportkarton `Lebende Tiere`, 320x197x230mm",Stck.,EUR,1.919,10,1.355,20,1.074,40,1.018,50,0.958,560,0.875,1120,,,,,,,,
212022110,"Transportkarton `Lebende Tiere`, 477x233x295mm",Stck.,EUR,2.312,10,1.749,20,1.467,40,1.579,50,1.542,260,1.364,520,,,,,,,,
212022210,"Transportkarton `Lebende Tiere`, 580x309x369mm",Stck.,EUR,3.077,10,2.514,20,2.326,30,2.307,260,2.129,520,,,,,,,,,,
212100320,"ORDNERVERSANDBOX 50-80B, 320x288x50-80mm",Stck.,EUR,0.845,20,0.403,120,0.388,880,0.335,1760,,,,,,,,,,,,
212100410,"ORDNER VERSANDKARTON für 4-5 Ordner",Stck.,EUR,1.659,10,1.096,20,0.909,30,0.774,80,0.744,440,0.639,880,,,,,,,,
212101010,"Automatikbodenkarton, A4+, 320x220x80-190mm",Stck.,EUR,1.537,10,0.692,40,0.540,720,0.475,1440,,,,,,,,,,,,
212101020,"Mail-Box XS, 247x146x42mm",Stck.,EUR,0.742,20,0.460,40,0.292,100,0.233,160,0.243,1440,0.211,2880,,,,,,,,
212101110,"Automatikbodenkarton, 390x280x100-240mm",Stck.,EUR,1.752,10,1.189,20,0.804,520,0.714,1040,,,,,,,,,,,,
212101120,"Mail-Box S, 249x175x79mm",Stck.,EUR,0.808,20,0.527,40,0.386,80,0.339,120,0.331,1080,0.288,2160,,,,,,,,
212101210,"Automatikbodenkarton, 475x310x155-310mm",Stck.,EUR,2.055,10,1.493,20,1.286,260,1.107,520,,,,,,,,,,,,
212101220,"Mail-Box M, 331x241x104mm",Stck.,EUR,0.970,20,0.688,40,0.625,80,0.600,480,0.503,960,,,,,,,,,,
212101310,"Automatikbodenkarton, A5+, 229x164x50-115mm",Stck.,EUR,1.350,10,0.412,60,0.270,2000,0.247,4000,,,,,,,,,,,,
212101320,"Mail-Box L, 395x248x141mm",Stck.,EUR,1.167,20,0.886,40,0.797,480,0.701,960,,,,,,,,,,,,
212101420,"Mail-Box XL, 460x333x174mm",Stck.,EUR,1.434,20,1.325,40,1.257,240,1.064,480,,,,,,,,,,,,
212102020,"TRAPEZ VERSANDVERPACKUNG `A2`, 435x105/55x75mm",Stck.,EUR,0.819,20,0.368,100,0.306,1680,0.281,3360,,,,,,,,,,,,
212102120,"TRAPEZ VERSANDVERPACKUNG `A1`, 610x105/55x75mm",Stck.,EUR,0.868,20,0.417,100,0.375,1260,0.340,2520,,,,,,,,,,,,
212102220,"TRAPEZ VERSANDVERPACKUNG `A1+`, 705x105/55x75mm",Stck.,EUR,0.901,20,0.479,80,0.405,1260,0.371,2520,,,,,,,,,,,,
212102320,"TRAPEZ VERSANDVERPACKUNG `A0`, 860x105/55x75mm",Stck.,EUR,0.961,20,0.585,60,0.498,840,0.448,1680,,,,,,,,,,,,
212102420,"TRAPEZ VERSANDVERPACKUNG, 1005x105/55x75mm",Stck.,EUR,0.971,20,0.596,60,0.524,840,0.466,1680,,,,,,,,,,,,
212111020,"Mail-Box XS, 247x146x42mm",Stck.,EUR,0.792,20,0.511,40,0.342,100,0.297,160,0.294,1440,0.261,2880,,,,,,,,
212111120,"Mail-Box S, 249x175x79mm",Stck.,EUR,0.852,20,0.570,40,0.430,80,0.382,120,0.375,1080,0.332,2160,,,,,,,,
212111220,"Mail-Box M, 331x241x104mm",Stck.,EUR,1.043,20,0.761,40,0.700,80,0.673,480,0.576,960,,,,,,,,,,
212111320,"Mail-Box L, 395x248x141mm",Stck.,EUR,1.284,20,1.002,40,0.914,480,0.817,960,,,,,,,,,,,,
212111420,"Mail-Box XL, 460x333x174mm",Stck.,EUR,1.622,20,1.336,40,1.445,240,1.252,480,,,,,,,,,,,,
212151020,"Mail-Box XS, 247x146x42mm",Stck.,EUR,0.786,20,0.504,40,0.335,100,0.297,160,0.287,1440,0.255,2880,,,,,,,,
212151120,"Mail-Box S, 249x175x79mm ",Stck.,EUR,0.848,20,0.566,40,0.426,80,0.392,120,0.371,1080,0.328,2160,,,,,,,,
212151220,"Mail-Box M, 331x241x104mm",Stck.,EUR,1.043,20,0.761,40,0.700,80,0.673,480,0.576,960,,,,,,,,,,
212151320,"Mail-Box L, 395x248x141mm",Stck.,EUR,1.275,20,0.993,40,0.905,480,0.808,960,,,,,,,,,,,,
212151420,"Mail-Box XL, 460x333x174mm",Stck.,EUR,1.554,20,1.272,40,1.378,240,1.184,480,,,,,,,,,,,,
